HRR_ID,Name,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
154,"Aurora, IL",3479.58,3861.02,4183.61,4496.21,4426.28,4681.79,4856.65,4684.29,4811.81,4776.97,4399.87,4608.13,4315.97
155,"Blue Island, IL",4228.29,4476.19,4756.25,4995.01,5116.62,5301.03,5678.42,5639.96,5643.03,5371.62,5180.75,4977.1,4800
156,"Chicago, IL",4018.1,4323.17,4626.55,4850.35,4998.51,5299.17,5444.46,5333.76,5344.64,5234.02,4912.33,4884.13,4589.73
158,"Elgin, IL",3962.05,4370.14,4757.27,5043.97,5121.94,5237.83,5480.08,5636.1,5685.88,5202.24,4938.23,4802.84,4761.41
161,"Evanston, IL",3513.29,3713.99,4015.9,4097.02,4147.64,4338.85,4567.66,4670.61,4654.59,4317.97,4046.62,3990.84,3874.21
163,"Hinsdale, IL",3666.18,3863.18,4266.5,4453.39,4403.98,4831.11,5192.18,4910.32,5020.67,4474.75,4390.89,4304.46,4230.94
164,"Joliet, IL",4258.88,4393.27,4791.05,4873.09,5215.27,5443.08,5566,5457.22,5569.83,5302.52,5184.83,5186.75,5100.19
166,"Melrose Park, IL",3708.95,3961.07,4362.24,4553.79,4787.11,4941.88,5294.27,5178.19,5141.7,4963.07,4804.4,4636.56,4448.69
170,"Peoria, IL",3228.55,3613.08,3832.18,3969.77,4222.12,4353.66,4503.98,4608.77,4682.91,4616.29,4413.11,4265.04,4240.08
171,"Rockford, IL",3249.13,3554.42,3707.43,3953.81,4001.5,4655.47,4630.32,4675.05,4680.92,4437.82,4319.45,4307.36,4251.15
172,"Springfield, IL",3434.58,3746.17,3870.62,3875.2,4024.34,4282.13,4455.74,4509.32,4665.83,4510.83,4398.55,4396.79,4557.96
173,"Urbana, IL",3538.76,3565.76,3884.7,4160.35,4145.22,4606.41,4427.59,4723.56,4779.81,4637.8,4426.75,4693.52,4566.3
175,"Bloomington, IL",3002.15,3045.78,3411.51,3686.17,3738.71,3614.4,3605.78,4273.4,3944.35,4018.87,3761.39,3683.28,3649.82
179,"Evansville, IN",3626.14,3906.35,4047.07,4486.66,4699.91,4923.39,5064.22,5363.14,5451.39,5181.81,5205.35,5229.65,5271.85
180,"Fort Wayne, IN",3162.8,3385.11,3769.15,3910.21,4150.32,4374.52,4506.95,4491.77,4497.59,4464.89,4327.85,4308.72,4407.49
181,"Gary, IN",3886.04,4055.8,4369.93,4740.34,4939.74,5176.61,5562.18,5597.77,5636.81,5526.01,5443.95,5382.66,5473.07
183,"Indianapolis, IN",3462.27,3828.44,4074.42,4187.33,4290.83,4677.01,4844.05,4954.47,5010.07,4895.98,4638.24,4537.21,4512.59
184,"Lafayette, IN",2957.82,3400.77,4080.7,4272.23,3721.94,3786.52,4916.29,6127.46,5396.82,4964.01,4814.5,4923.62,4726.98
185,"Muncie, IN",3178.22,3469.31,3510.04,4046.62,4168.05,4500.01,4670.29,4933.38,5064.79,4780.43,4800,4619.48,4585.97
186,"Munster, IN",4228.38,4678.4,5239.44,5296.43,5363.53,5708.05,5792.78,5796.68,6336.47,6057.5,5828.77,5724.27,5895.66
187,"South Bend, IN",3040.71,3499.75,3624.59,3630.69,3811.26,4179.52,4247.42,4326.04,4500.69,4355.38,4134.69,4133.99,4001.12
188,"Terre Haute, IN",3707.79,4413.39,4562.17,4769,5008.14,5312.94,4990.23,5245.47,5636.63,5122.75,5115.51,4887.18,4850.5
190,"Cedar Rapids, IA",2656.75,2631.86,3259.08,3286.26,3503.51,3822.65,3773.22,3914.03,3891.25,3814.93,3638.62,3725.74,3763.33
191,"Davenport, IA",3297.05,3411.69,3701.43,3979.31,4040.39,4187.2,4337.58,4395.26,4517.35,4264.54,4152.56,3978.49,4062.31
192,"Des Moines, IA",2922.36,2976.02,3200.21,3424.67,3487.73,3691.14,3710.41,3726.95,3681.01,3541.36,3512.46,3509.2,3498.51
193,"Dubuque, IA",2412.88,2512.14,3123.21,2977.12,3204.22,3318.03,3426.02,3370.4,3716.25,3659.57,3562.75,3561.32,3751.88
194,"Iowa City, IA",2595.48,2858.94,3235.52,3245.28,3452.62,3815.02,3808.59,3757.9,3731.67,3656.92,3693.42,3649.86,3763.28
195,"Mason City, IA",2684.24,2948.21,2854.53,3140.4,3412.19,3563.39,3565.82,3650.21,3714,3665.27,3350.13,3590.77,3655.49
196,"Sioux City, IA",2793.66,3237.33,3355.33,3368.74,3468.91,3846.21,4136.78,3866.29,3855.98,3872.35,3867.88,3813.66,3810.7
197,"Waterloo, IA",2914.5,3332.66,3177.59,3672.03,3410.88,3974.28,4051.43,4091.43,4192.58,4006.18,3906.93,3930.43,3869.3
200,"Topeka, KS",3341.41,3501.13,3586.43,3639.05,3998.28,4187.15,4429.39,4261.45,4385.36,4377.4,4228.3,4222.25,4293.12
201,"Wichita, KS",3552.17,3714.1,3854.42,4148.67,4146.09,4480.71,4458.44,4521.57,4579.12,4525.91,4446.34,4476.53,4566.37
203,"Covington, KY",3798.05,4125.92,4771.98,4608.77,4927.31,5626.61,5554.73,5645.03,5789.28,5684.13,5417.97,5306.45,5338.59
204,"Lexington, KY",3794.15,4128.47,4489.81,4664.78,4842.37,5211.73,5410.39,5345.92,5475.76,5193.66,5081.32,5102.18,5096.03
205,"Louisville, KY",3971.22,4081.52,4346.45,4497.34,4606.01,5010.6,5245.95,5384.57,5439.73,5199.15,4957.7,4860.79,4843.07
207,"Owensboro, KY",3442.18,3620,3825.74,4338.3,4519.43,4795.79,5328.54,5019.87,5180.8,4633.61,4650.83,4379.51,4661.62
208,"Paducah, KY",3908.7,4158.33,4416.79,4716.96,4735.37,5138.92,5414.71,5356.1,5389.73,5201.53,4874.82,4847.49,4981.73
209,"Alexandria, LA",4878.63,5258.9,5584.57,5746.44,5666.01,5890.89,5886.87,5890.88,6019.39,5815.42,5662.42,5568.09,5827.35
210,"Baton Rouge, LA",4163.1,4217.61,4655.79,4655.21,4718.19,5002.74,5142.45,5159.88,5102.81,5008.68,4743.14,4887.05,4520.99
212,"Houma, LA",3905.42,3865.15,4400.2,4729.8,4793.51,4916.26,5164.56,4688.01,4744.16,4816.79,4784.17,4748.49,4592.54
213,"Lafayette, LA",4299.64,4693.08,5216.97,5284.48,5412.37,5629.93,5568.69,5472.59,5455.51,5264.94,5091.31,5173.69,5121.8
214,"Lake Charles, LA",4762.79,5068.47,5054.82,5019.97,5021.12,5583.31,5528.95,5348.01,5167.39,5325.69,4814.11,4857.84,4619.82
216,"Metairie, LA",4697.6,4669.69,5206.72,4880.56,5111.03,5348.64,5237.18,5590.14,5515.68,5139.47,4913.4,4847.68,4785.54
217,"Monroe, LA",5221.5,5570.2,5884.15,5753.15,5925.4,5575.2,6016.46,6129.01,5946.58,6130.24,5910.03,5681.73,5732.97
218,"New Orleans, LA",4599.77,5013.97,5518.49,4210.3,4640.65,4679.11,4842.67,5005.99,4910.55,4549.09,4305.41,4338.37,4265.23
219,"Shreveport, LA",5189.24,5339.3,5509.75,5836.47,5584.83,5967.88,6099.84,5867.24,5833.14,5703.45,5468.79,5420.69,5529.77
220,"Slidell, LA",4474.99,4413.29,5011.07,5110.89,5264.68,5680.77,5769.3,5425.37,5476,5228.34,5038.54,5110.43,5212.07
221,"Bangor, ME",3251.75,3409.09,3559.67,3809.94,3981.34,4260.16,4399.92,4119.88,4237.82,3998.41,3877.58,3909.06,3941.75
222,"Portland, ME",2984.88,3138.8,3372.61,3414.13,3612.26,3950.73,4140.06,3898.29,3866.61,3636.82,3465.79,3462.8,3452.91
223,"Baltimore, MD",3487.3,3641.89,3840.34,4035.53,4079.32,4406.02,4698.28,4464,4445.06,4179.61,3960.05,3782.25,3707.57
225,"Salisbury, MD",3609.66,3963.28,3923.38,4023.17,4078.3,4260.77,4483.82,4486.47,4304.41,4059.36,3961.09,4066.84,3908.17
226,"Takoma Park, MD",3145.86,3206,3366.32,3438.83,3469.53,3713.34,3831.54,3933.86,4000.29,3760.19,3509.42,3428.8,3404.55
227,"Boston, MA",3878.37,4138.92,4286.21,4467.65,4637.95,4849.01,5066.49,5030.36,5086.02,4608.25,4315.96,4200.19,4240.83
230,"Springfield, MA",3363.86,3506.18,3728.06,3879.01,4183.08,4017.34,4267.45,4397.6,4335.1,4056.47,3862.63,3837.78,3844.52
231,"Worcester, MA",4052.06,4313.49,4479.67,4825.56,4973.31,5021.08,5118.38,5294.74,5242.45,4766.94,4335.8,4354.16,4397.24
232,"Ann Arbor, MI",3499.45,3649.71,3989.85,4165.79,4492.02,4695.43,4969.92,4871.66,5009.56,4876.2,4713.79,4622.29,4615.14
233,"Dearborn, MI",4181.33,4482.22,4829.26,5072.03,5211.88,5711.69,6183.99,6092.75,6375.24,6237.44,5975.61,6087.95,6218.79
234,"Detroit, MI",3893.47,4122.36,4356.6,4628.89,4712.99,4994.65,5355.59,5387.08,5615.34,5452.69,5259.75,5341.42,5216.05
235,"Flint, MI",3586.4,3862.12,3961.5,4308.64,4488.56,4940.31,5305.54,5151.38,5267.97,5184.53,5248.37,5411.68,5364.94
236,"Grand Rapids, MI",2698.25,2951.89,3253.36,3612.26,3459.54,4038.85,3999.53,4023.69,4241.73,4113.38,3872.17,3853.64,3937.09
238,"Kalamazoo, MI",3409.71,3675.78,3962.89,4064.77,4071.69,4305.01,4395.4,4286.98,4453.28,4271.2,4232.99,4195.46,4149.56
239,"Lansing, MI",3359.93,3542.82,3738.97,3891.98,4158.71,4381.63,4381.01,4397.59,4385.97,4444.32,4248.6,4137.7,4213.15
240,"Marquette, MI",2662,3105.92,3189.31,2858.57,3448.77,3489.89,3570.42,3472.97,3403.22,3469.89,3292.48,3353.24,3373.63
242,"Muskegon, MI",3030.77,3030.24,3361.96,3522.44,3593.38,3841.85,3925.78,3753.91,3824.96,3736.22,3758.52,3820.71,3953.47
243,"Petoskey, MI",2891.71,3071.29,3230.92,3426.07,3481.26,3971.87,4162.16,3594.09,3539.43,3591.09,3617.38,3658.06,3422.9
244,"Pontiac, MI",3842.76,3703.82,4306.12,4593.81,4905.69,5150.24,5434.18,5172.62,5383.62,5356.66,4930.75,5048.81,4894.46
245,"Royal Oak, MI",3611.37,3816.17,4213.43,4358.45,4604.33,4977.67,5241.69,5145.3,5348.42,5295.64,4899.12,5244.85,4965.51
246,"Saginaw, MI",3525.64,3784.22,3993.94,4080.46,4294.57,4503.48,4894.1,4711.97,4837.39,4716.37,4693.13,4808.11,4757.2
248,"St. Joseph, MI",3434.39,3564.17,4022.35,3800.46,3702.34,4260.21,4310.54,4158.9,4591.16,4283.3,3934.89,3811.32,3644.17
249,"Traverse City, MI",3009.09,3200.72,3257.09,3290.04,3753.65,3788.83,3919.69,4004.99,3803.06,3746.77,3791.17,3587.13,3780.85
250,"Duluth, MN",3263.91,3518.49,3730.09,3644.37,3750.65,4314.98,4028.47,3915.63,4073.8,3837.99,3798.66,3667.45,3871.71
251,"Minneapolis, MN",3046.04,3194.47,3378.6,3491.47,3647.53,3805.59,3927.53,3971.33,3948.26,3833.33,3684.15,3647.32,3678.16
253,"Rochester, MN",3136.81,3353.5,3460.88,3502.36,3652.97,3787.81,3554.13,3712.18,3678.05,3538.63,3485.2,3337.8,3626.97
254,"St. Cloud, MN",2784.58,3216.48,3171.85,3258.37,3656.1,3639.45,4004.74,3978.08,3762.96,3635.01,3518.71,3649.3,3574.5
256,"St. Paul, MN",3063.12,3222.07,3316.45,3677.52,3685.06,3841.24,3860.23,4027.59,3971.35,3898.67,3591.52,3587.64,3598.05
257,"Gulfport, MS",4305.55,4814.63,4993.57,4476,5301.48,5624.37,5501.74,5345,5308.44,5362.72,5092.46,4974.84,5093.19
258,"Hattiesburg, MS",3971.11,4196.83,4464.48,4432.21,4370.43,4731.41,5536.88,5243.28,5253.79,5056.98,4811.69,4975.62,5174.65
